iter	Passed	Remaining
417	2563	2342
418	2568	2335
419	2573	2328
420	2579	2322
421	2584	2314
422	2589	2308
423	2594	2300
424	2599	2293
425	2604	2286
426	2609	2279
427	2614	2272
428	2619	2264
429	2625	2258
430	2629	2251
431	2634	2244
432	2639	2237
433	2644	2230
434	2649	2223
435	2654	2216
436	2659	2209
437	2664	2202
438	2669	2195
439	2674	2188
440	2680	2181
441	2685	2174
442	2689	2167
443	2694	2160
444	2700	2154
445	2705	2147
446	2710	2140
447	2715	2133
448	2721	2127
449	2727	2121
450	2732	2114
451	2737	2107
452	2742	2100
453	2747	2094
454	2752	2087
455	2757	2080
456	2762	2073
457	2767	2066
458	2773	2060
459	2779	2054
460	2783	2047
461	2789	2040
462	2794	2034
463	2799	2027
464	2804	2020
465	2810	2014
466	2815	2007
467	2820	2000
468	2825	1994
469	2830	1987
470	2835	1980
471	2841	1974
472	2846	1968
473	2851	1961
474	2857	1954
475	2862	1948
476	2867	1941
477	2871	1934
478	2876	1928
479	2882	1921
480	2887	1915
481	2892	1908
482	2897	1901
483	2902	1895
484	2908	1888
485	2913	1882
486	2918	1875
487	2923	1869
488	2929	1862
489	2934	1856
490	2939	1849
491	2944	1843
492	2950	1837
493	2955	1830
494	2960	1823
495	2965	1817
496	2970	1810
497	2975	1804
498	2981	1798
499	2986	1792
500	2992	1785
501	2998	1779
502	3003	1773
503	3008	1766
504	3012	1760
505	3018	1753
506	3023	1747
507	3028	1740
508	3033	1733
509	3038	1727
510	3043	1721
511	3048	1714
512	3053	1708
513	3058	1701
514	3063	1695
515	3068	1688
516	3073	1682
517	3079	1676
518	3084	1669
519	3089	1663
520	3096	1657
521	3101	1651
522	3106	1645
523	3111	1638
524	3116	1632
525	3120	1625
526	3126	1619
527	3131	1613
528	3137	1607
529	3141	1600
530	3147	1594
531	3153	1588
532	3158	1582
533	3163	1575
534	3168	1569
535	3173	1563
536	3178	1556
537	3183	1550
538	3188	1544
539	3193	1537
540	3199	1531
541	3204	1525
542	3209	1519
543	3214	1512
544	3220	1506
545	3225	1500
546	3230	1494
547	3236	1488
548	3241	1482
549	3247	1476
550	3252	1469
551	3259	1464
552	3264	1457
553	3269	1451
554	3274	1445
555	3279	1439
556	3284	1432
557	3289	1426
558	3295	1420
559	3300	1414
560	3305	1408
561	3310	1401
562	3315	1395
563	3320	1389
564	3326	1383
565	3330	1377
566	3335	1370
567	3340	1364
568	3346	1358
569	3350	1352
570	3356	1345
571	3362	1340
572	3367	1334
573	3372	1327
574	3377	1321
575	3383	1315
576	3388	1309
577	3394	1303
578	3398	1297
579	3403	1291
580	3408	1284
581	3414	1278
582	3419	1272
583	3424	1266
584	3429	1260
585	3434	1254
586	3440	1248
587	3445	1242
588	3450	1235
589	3455	1229
590	3460	1223
591	3465	1217
592	3471	1211
593	3476	1205
594	3482	1199
595	3487	1193
596	3491	1187
597	3496	1181
598	3501	1175
599	3506	1168
600	3511	1162
601	3516	1156
602	3521	1150
603	3526	1144
604	3532	1138
605	3537	1132
606	3543	1126
607	3548	1120
608	3553	1114
609	3558	1108
610	3563	1102
611	3569	1096
612	3574	1090
613	3579	1084
614	3585	1078
615	3590	1072
616	3595	1066
617	3600	1060
618	3605	1054
619	3610	1048
620	3617	1042
621	3622	1036
622	3627	1030
623	3632	1024
624	3637	1018
625	3642	1012
626	3647	1006
627	3653	1000
628	3658	994
629	3663	988
630	3668	982
631	3673	976
632	3678	970
633	3683	964
634	3688	958
635	3693	952
636	3699	946
637	3704	940
638	3708	934
639	3714	928
640	3719	922
641	3724	916
642	3730	910
643	3735	904
644	3740	898
645	3746	893
646	3751	887
647	3756	881
648	3761	875
649	3766	869
650	3770	863
651	3776	857
652	3781	851
653	3786	845
654	3792	839
655	3797	833
656	3802	827
657	3807	821
658	3812	815
659	3817	809
660	3822	803
661	3827	797
662	3832	791
663	3837	786
664	3842	780
665	3847	774
666	3852	768
667	3857	762
668	3862	756
669	3867	750
670	3873	744
671	3877	738
672	3882	732
673	3888	726
674	3893	720
675	3898	715
676	3903	709
677	3908	703
678	3914	697
679	3918	691
680	3923	685
681	3928	679
682	3934	673
683	3939	668
684	3944	662
685	3950	656
686	3955	650
687	3961	644
688	3966	639
689	3972	633
690	3977	627
691	3982	621
692	3988	615
693	3992	609
694	3997	603
695	4002	598
696	4007	592
697	4012	586
698	4017	580
699	4022	574
700	4027	568
701	4031	562
702	4037	557
703	4042	551
704	4047	545
705	4052	539
706	4057	533
707	4062	527
708	4067	522
709	4073	516
710	4078	510
711	4084	504
712	4089	498
713	4093	493
714	4098	487
715	4103	481
716	4108	475
717	4113	469
718	4118	464
719	4123	458
720	4128	452
721	4133	446
722	4138	440
723	4143	434
724	4148	429
725	4154	423
726	4159	417
727	4164	411
728	4170	406
729	4175	400
730	4180	394
731	4186	388
732	4191	383
733	4196	377
734	4201	371
735	4206	365
736	4212	360
737	4218	354
738	4224	348
739	4229	342
740	4234	337
741	4240	331
742	4245	325
743	4250	319
744	4257	314
745	4262	308
746	4267	302
747	4272	297
748	4278	291
749	4283	285
750	4289	279
751	4294	274
752	4300	268
753	4305	262
754	4310	256
755	4316	251
756	4321	245
757	4327	239
758	4333	234
759	4338	228
760	4343	222
761	4348	216
762	4355	211
763	4360	205
764	4365	199
765	4370	194
766	4377	188
767	4382	182
768	4388	176
769	4393	171
770	4399	165
771	4404	159
772	4409	154
773	4415	148
774	4420	142
775	4426	136
776	4432	131
777	4438	125
778	4444	119
779	4450	114
780	4455	108
781	4461	102
782	4467	96
783	4472	91
784	4478	85
785	4483	79
786	4488	74
787	4495	68
788	4500	62
789	4506	57
790	4511	51
791	4516	45
792	4522	39
793	4527	34
794	4532	28
795	4539	22
796	4544	17
797	4550	11
798	4556	5
799	4561	0
93	6197	46
794	6204	39
795	6211	31
796	6219	23
797	6226	15
798	6234	7
799	6241	0
