iter	Poisson
0	0.9838785079
1	0.9685499523
2	0.953045223
3	0.9382124501
4	0.9242394044
5	0.9093747334
6	0.8947172119
7	0.8809239726
8	0.86637616
9	0.8528185769
10	0.8381968466
11	0.8259178532
12	0.8127353497
13	0.8005764917
14	0.7878999451
15	0.7759901771
16	0.7640743845
17	0.7521549117
18	0.7397763624
19	0.7278994278
20	0.7163255884
21	0.7048487873
22	0.6943391153
23	0.6839846401
24	0.6725185173
25	0.6615451262
26	0.6517444515
27	0.6409278385
28	0.6312322413
29	0.6215173788
30	0.612601134
31	0.6029417062
32	0.594001041
33	0.5843772874
34	0.5753484661
35	0.5671913088
36	0.5588681
37	0.5503959868
38	0.5414712814
39	0.5332888794
40	0.5245442531
41	0.5165236666
42	0.5088298678
43	0.50120968
44	0.4939228397
45	0.4861117447
46	0.4779738203
47	0.4706260403
48	0.463888975
49	0.4566877851
50	0.4498621452
51	0.442893679
52	0.4359095392
53	0.4294569354
54	0.4229329094
55	0.4164505145
56	0.4108001707
57	0.4047561349
58	0.39891427
59	0.3930836138
60	0.387365109
61	0.3820671794
62	0.3762329911
63	0.3705665302
64	0.3648240454
65	0.3604682299
66	0.3547653008
67	0.3499277235
68	0.3443088557
69	0.3394842359
70	0.3340230837
71	0.3296781054
72	0.3247748452
73	0.3202544499
74	0.3158490607
75	0.311222866
76	0.3065135157
77	0.3021250876
78	0.2982128892
79	0.2936695078
80	0.2891181136
81	0.2849845108
82	0.2810578829
83	0.2772320749
84	0.2737956561
85	0.2697430514
86	0.2657717138
87	0.2617867289
88	0.2581757827
89	0.2546563263
90	0.2508298578
91	0.2476540549
92	0.2441371329
93	0.2408161867
94	0.2380009432
95	0.234558543
96	0.2310899066
97	0.2281470063
98	0.2251176088
99	0.2222004335
100	0.2193845117
101	0.2166673912
102	0.2136500548
103	0.2106734756
104	0.208189942
105	0.2052437123
106	0.2024573665
107	0.2001069526
108	0.1970688731
109	0.1945616901
110	0.1919197259
111	0.1892415387
112	0.1865878036
113	0.1838098547
114	0.1817350171
115	0.1797802454
116	0.1774283221
117	0.1754066837
118	0.1732223656
119	0.1708760218
120	0.1685371281
121	0.1660748983
122	0.1639695473
123	0.1621992971
124	0.1600415558
125	0.1581431155
126	0.1566157709
127	0.1542864729
128	0.1523602725
129	0.1500528717
130	0.1482502285
131	0.1461261679
132	0.1444193893
133	0.142535536
134	0.1407363492
135	0.1389478972
